Time;Event_NP
10;1
6;1
56;0
7;1
20;0
20;0
23;0
6;1
7;1
60;0
62;0
2;1
33;0
57;0
63;0
36;0
24;0
24;0
30;0
31;0
36;0
55;0
51;0
55;0
43;0
39;0
53;0
44;0
66;0
45;0
51;0
54;0
41;0
37;0
47;0
22;0
29;0
32;0
46;0
53;0
51;0
38;1
7;1
71;0
8;1
51;0
52;0
28;1
20;0
23;0
8;1
30;0
11;1
43;0
19;1
59;0
39;0
44;0
26;1
23;0
51;0
21;0
51;0
33;0
58;0
59;0
66;0
64;0
51;0
30;1
0;0
55;0
38;0
35;0
67;0
20;0
22;0
20;0
20;0
20;0
5;1
6;1
32;0
70;0
51;0
52;0
51;0
20;1
44;0
46;0
47;0
21;0
13;1
11;1
6;1
16;1
7;1
8;1
15;1
20;0
21;0
24;0
26;0
24;0
24;0
30;0
53;0
41;0
22;0
0;0
23;0
34;0
37;0
22;0
47;0
47;0
24;0
23;0
6;1
28;0
23;0
58;0
45;0
55;0
49;0
0;0
51;0
2;1
20;0
23;0
23;0
22;0
49;0
24;0
47;0
70;0
57;0
49;0
51;0
6;1
35;1
20;0
61;0
6;1
11;1
50;0
51;0
9;1
9;1
9;1
43;0
6;1
20;0
21;0
29;1
21;0
22;0
22;0
24;0
49;0
24;0
71;0
52;0
17;1
0;0
19;1
24;0
28;0
34;0
22;0
23;0
59;0
59;0
51;0
7;1
7;1
45;0
4;1
16;1
23;0
69;0
26;1
23;0
6;1
20;0
47;0
70;0
28;0
44;0
19;1
51;0
49;0
51;0
51;0
23;0
51;0
45;0
8;1
7;1
39;0
20;0
23;0
24;0
47;0
48;0
6;1
54;0
53;0
57;0
22;1
58;0
6;1
58;0
21;0
43;0
53;0
56;0
43;0
15;1
40;0
40;0
23;0
49;0
29;0
29;0
56;0
13;1
6;1
14;1
61;0
52;0
0;0
13;1
43;0
42;0
45;0
47;0
15;1
27;0
49;0
29;0
29;0
5;1
9;1
39;0
21;0
24;0
24;0
23;0
64;0
14;1
15;1
61;0
43;0
14;1
14;1
61;0
22;0
34;0
32;1
45;0
51;0
27;0
35;0
38;0
2;1
20;0
52;0
60;0
5;1
8;1
8;1
22;0
10;1
11;1
9;1
23;0
58;0
21;0
63;0
44;0
5;1
24;0
38;1
6;1
60;0
59;0
67;0
6;1
39;0
6;1
45;0
52;0
5;1
23;0
24;0
23;0
31;0
34;0
4;1
20;0
60;0
61;0
65;0
37;1
6;1
50;0
47;0
23;0
29;0
46;0
69;0
37;0
6;1
46;0
24;0
22;0
23;0
63;0
41;0
6;1
64;0
36;0
40;0
48;0
24;0
16;0
24;0
31;0
24;0
2;1
20;0
22;0
15;1
6;1
45;0
9;1
23;0
23;0
23;0
45;0
32;0
63;0
20;0
22;0
22;0
27;0
2;1
43;0
2;1
36;0
37;0
40;0
4;1
43;0
40;0
13;1
50;0
20;0
4;1
52;0
29;0
61;0
53;0
10;1
37;0
13;1
66;0
43;1
72;0
38;0
23;0
37;0
17;1
45;0
42;0
5;1
23;0
56;0
27;0
0;0
23;0
7;1
20;0
54;0
22;1
45;0
24;0
21;0
9;1
70;0
29;1
41;0
41;0
20;0
20;0
16;1
0;0
38;0
22;0
63;0
58;0
62;0
40;0
6;1
39;0
9;1
67;0
29;0
33;0
33;0
65;0
54;0
46;0
21;0
23;0
6;1
11;1
0;0
20;0
6;1
16;1
23;0
43;0
54;0
22;0
22;0
22;0
30;0
43;0
33;0
22;0
33;0
28;1
17;1
19;1
68;0
42;0
41;0
57;0
31;0
29;0
43;0
6;1
32;0
4;1
11;1
20;0
23;0
8;1
55;0
9;1
55;0
26;0
26;0
59;0
8;1
20;0
28;0
28;0
28;0
0;0
39;0
42;1
41;0
44;0
0;0
52;0
6;1
24;0
0;1
14;1
24;0
2;1
35;0
33;0
24;0
0;0
0;0
23;0
54;0
21;0
4;1
43;0
43;0
45;0
6;1
51;0
55;0
20;0
20;0
27;0
0;1
29;0
5;1
61;0
8;1
25;1
57;0
12;1
23;0
13;1
60;0
21;1
6;1
54;0
21;0
13;1
25;0
23;0
6;1
48;1
2;1
49;0
53;1
7;1
48;0
43;0
63;0
8;1
62;0
48;0
48;0
52;0
51;0
58;0
21;0
24;0
22;0
24;0
42;0
41;0
41;0
48;0
48;0
24;0
20;0
23;0
56;0
48;0
23;0
23;0
63;0
40;0
49;0
23;0
39;0
40;0
22;0
20;0
20;0
61;0
57;0
58;0
60;0
68;0
39;0
47;0
0;0
47;0
48;0
51;0
8;1
52;0
23;0
23;0
27;0
33;0
37;0
0;0
37;0
57;0
56;0
23;0
26;0
26;0
7;1
19;1
11;1
42;0
41;0
44;0
6;1
21;1
24;0
7;1
39;0
16;1
63;0
41;0
47;0
34;0
41;0
20;0
23;0
23;0
41;0
20;0
19;1
6;1
23;0
23;0
23;0
24;0
22;0
25;0
20;1
22;0
41;0
67;0
36;0
4;1
58;0
57;0
2;1
33;0
24;0
6;1
47;0
2;1
20;0
70;0
48;0
51;0
29;0
28;0
11;1
12;1
6;1
39;0
23;0
24;0
10;1
69;0
40;0
51;0
39;0
5;1
20;0
23;0
67;0
67;0
66;0
45;1
71;0
40;0
51;0
47;0
47;0
47;0
51;0
32;0
32;0
39;0
20;1
7;1
20;0
39;0
44;0
20;0
70;0
70;0
23;0
33;1
6;1
62;0
39;0
57;0
25;1
21;1
37;0
32;0
38;0
9;1
23;0
24;0
20;1
52;0
46;0
58;0
58;0
6;1
33;0
39;0
20;0
44;0
30;1
6;1
6;1
58;0
39;0
29;1
48;0
70;0
57;0
45;1
60;0
60;0
51;1
66;0
67;0
62;0
70;0
40;0
49;0
44;0
45;0
51;0
51;0
51;0
52;0
52;0
51;0
51;0
31;0
4;1
4;1
32;0
32;0
39;0
39;0
24;0
56;0
45;0
21;0
20;0
24;0
24;0
0;1
23;0
57;0
6;1
6;1
17;1
38;1
27;0
8;1
50;1
27;0
25;0
66;0
17;1
62;0
63;0
42;0
40;0
63;0
27;0
35;0
39;0
20;0
20;0
20;0
44;0
56;0
67;0
43;0
45;0
9;1
51;0
30;0
29;0
22;1
65;0
48;0
21;0
21;0
24;0
24;0
25;0
5;1
27;0
6;1
39;0
42;0
20;1
44;0
43;0
51;0
24;0
52;0
9;1
51;0
57;0
16;1
16;1
55;0
24;0
62;0
61;0
26;0
51;0
34;0
8;1
0;0
29;0
13;1
10;1
37;0
43;0
41;0
57;0
21;0
20;0
23;0
24;1
69;0
18;1
51;0
38;0
43;0
